DATE,CTPOP
1970-01-01,3032.217
1971-01-01,3060.938
1972-01-01,3068.699
1973-01-01,3067.814
1974-01-01,3074.047
1975-01-01,3082.500
1976-01-01,3083.335
1977-01-01,3085.722
1978-01-01,3091.627
1979-01-01,3095.917
1980-01-01,3113.174
1981-01-01,3128.836
1982-01-01,3139.013
1983-01-01,3162.354
1984-01-01,3180.014
1985-01-01,3201.131
1986-01-01,3223.740
1987-01-01,3247.291
1988-01-01,3271.953
1989-01-01,3283.403
1990-01-01,3289.056
1991-01-01,3288.640
1992-01-01,3274.997
1993-01-01,3272.325
1994-01-01,3268.346
1995-01-01,3265.293
1996-01-01,3267.030
1997-01-01,3268.514
1998-01-01,3272.563
1999-01-01,3282.031
2000-01-01,3411.777
2001-01-01,3432.835
2002-01-01,3458.749
2003-01-01,3484.336
2004-01-01,3496.094
2005-01-01,3506.956
2006-01-01,3517.460
2007-01-01,3527.270
2008-01-01,3545.579
2009-01-01,3561.807
2010-01-01,3579.125
2011-01-01,3588.023
2012-01-01,3594.395
2013-01-01,3594.915
2014-01-01,3594.783
2015-01-01,3587.509
2016-01-01,3578.674
2017-01-01,3573.88
2018-01-01,3572.665
